,레시피명,재료,방법,열량,탄수화물,단백질,지방,나트륨
86,유부 달걀찜,"유부 8g, 달걀 30g, 당근 7g, 멸치 육수 50g, 간장 3g, 설탕 2g, 소금적당량","['유부는 윗면을 잘라 내고 입을 벌려서 주머니를 만든다.', '1을 끓는 물에 데친 뒤 냉수에 헹군다.', '달걀을 그릇에 풀고 다진 당근과 소금을 넣고 섞는다.', '2에 3을 넣어 꼬지로 주름을 잡아 끝부분을 마무리한다.', '냄비에 멸치 육수와 간장, 설탕, 소금을 넣는다.', '5에 4를 넣어 10분정도 끓인다.']",87.0,3.9,6.1,5.4,209
87,찰 어묵찜,"찰어묵 50g, 새우살 20g, 전분 5g 양념 마늘다진것 2g, 참기름 1g, 깨소금 1g, 청주 1g, 소금적당량, 후추 적당량","['찰어묵을 2cm 두께로 썬 후 가운데 칼집을 넣는다. ', '새우살을 입자있게 다진다.', '2에 양념재료를 넣고 잘 버무린다', '찰어묵의 칼집 사이에 전분을 묻힌다.', '칼집 사이에 3를 끼워 넣는다.', '김이 오른 찜통에 10분간 찐다.']",103.0,11.0,9.4,2.2,397
88,유부 우엉 잡채,"우엉 20g, 유부 6g, 양파 10g, 당근 10g, 올리브유 5g, 올리고당 6g, 간장 5g, 설탕 0.5g, 참깨 0.5g, 참기름 1g","['우엉을 깨끗이 씻어 채 썬다.', '양파와 당근을 채 썬다.', '간장과 양념들을 넣고 채 썬 우엉을 졸인다.', '3이 80% 정도 졸았을 대 채 썬 양파와 당근을 넣는다.', '거의 다 졸여지면 채 썬 유부를 넣는다.', '참깨를 뿌려 마무리한다.']",40.71,3.02,1.13,2.68,128.73
89,치즈두부샐러드,"까망베르치즈 8g, 두부 25g, 새싹채소 5g, 아몬드슬라이스 1g, 유자청 6g, 식초 1g, 레몬즙 2g, 올리브유 3g, 저염간장 2g","['유자청을 잘게 다진 뒤 저염간장, 식초, 올리브유, 레몬즙을 섞어 드레싱을 만든다.', '두부는 2cm 크기로 깍둑썰기 한다.', '까망베르치즈도 깍둑썰기 한다.', '새싹채소는 세척 후 건져 물기를 제거한다.', '그릇에 새싹채소를 담고 두부, 치즈를 얹는다.', '드레싱과 아몬드를 뿌린다.']",104.06,7.87,6.2,5.31,101.08
90,된장숙성저수분수육,"앞다리살 돈육(보쌈용) 100g, 양파 40g, 대파 20g,저염된장 4g, 통후추 1g, 월계수잎 1g, 생강가루 2g, 다진마늘 4g","['돼지고기 앞다리 살에 칼집을 낸다.', '\n돼지고기에 된장, 생강가루, 다진마늘, 통후추, 월계수잎을 입혀 숙성시킨다.', '파와 대파는 큼지막하게 썰어 준비한다.', '냄비 혹은 오븐용기의 밑 부분에 양파와 대파를 놓아준다.', '④에 숙성시킨 돼지고기를 올려 약 50분 정도 가열하여 완전히 익혀준다.', '0.5cm 두께로 썰어서 제공한다.']",342.6,17.2,33.1,15.7,178
91,스마일오이피클,"오이 80g, 배 50g, 홍피망 5g, 청피망 5g, 노랑파프리카 5g, 식초 3g, 설탕 6g, 물 100ml, 피클링스파이스 1g","['오이를 3등분하여 속을 파낸다.', '피망 및 파프리카는 U모양으로 휘어지게 썰어준다.', '배를 채 썰어 준다.', '오이 중앙에 파프리카와 배를 채워 넣는다.', '물, 식초, 설탕, 피클링 스파이스를 넣어 피클물을 만든다.', '④에 피클물을 넣고 30분 정도 숙성시킨다.']",52.15,10.83,1.01,0.54,9.69
92,참나물 소보로덮밥,"건취나물(10g), 건표고버섯(20g), 불린 쌀(80g), 불린 곤약쌀(60g), 다진 돼지고기(20g), 달걀(1개), 참나물(10g), 간장(7g), 참기름(3g), 소금(1g), 식용유(3㎖)","['건취나물과 건표고버섯은 뜨거운 물(200㎖)에 담가 30분간 불린다.', '밥솥에 불린 쌀과 곤약쌀, 불린 건취나물, 물(100㎖)을 넣어 취사 버튼을 눌러 밥을 짓는다.', '불린 표고버섯은 잘게 다져 중간 불로 달군 팬에 넣고 다진 돼지고기, 간장(5g), 참기름(2g)을 넣어 3분간 볶아 꺼낸다.', '중간 불로 달군 다른 팬에 식용유(3㎖)를 두른 뒤 달걀을 넣어 스크램블드에그를 만든다.', '끓는 물(300㎖)에 참나물을 넣고 1분간 데쳐 찬물에 헹군 뒤 소금(1g), 간장(2g), 참기름(1g)을 넣어 버무린다.', '그릇에 취나물 곤약밥을 담은 뒤 볶은 버섯과 고기, 스크램블드에그, 양념한 참나물을 얹는다.']",293.9,51.5,9.3,5.6,583.6
93,버섯초계탕,"[ 2인분 ] 닭(1마리), 양파(1개), 대파(1대), 미나리(½줌), 새송이버섯(3개), 팽이버섯(1봉), 마늘(6쪽), 양송이버섯(4개), 달걀(1개), 전분(0.7Ts), 간장(0.5Ts), 소금(0.3ts), 후춧가루(약간)","['닭은 깨끗하게 씻어 준비하고, 양파와 대파는 4등분한다. ', '새송이버섯은 모양대로 두툼하게 썰고, 팽이버섯은 밑동을 자른 뒤 낱낱이 가르고, 미나리는 한입 크기로 썬다. ', '냄비에 닭을 넣고 잠길 만큼 물을 붓고, 양파, 대파, 미나리(½분량), 마늘을 넣어 센 불로 올린 뒤 닭이 익을 때까지 끓인다. ', '닭, 양파, 미나리를 건져내 한 김 식히고, 닭은 살을 발라낸다. ', '닭고기, 양파, 남은 미나리, 달걀, 전분을 고루 섞어 닭볼을 만든다. ', '육수에 닭볼, 새송이버섯, 팽이버섯, 양송이버섯, 남은 미나리를 넣고, 양념으로 간한 뒤 한소끔 끓여 마무리한다.']",277.3,31.4,24.6,5.9,178.9
94,사과채소타코,"[ 2인분 ] 양상추(2장), 사과(½개), 토르티야(4장), 슈레드 모차렐라치즈(약간), 양파(⅛개), 파프리카(⅛개), 토마토(½개), 할라피뇨 피클(4개), 스리라차 소스(1Ts), 스테비아(0.5Ts), 아보카도(½개), 살사소스(1Ts), 라임즙(1Ts), 무가당 플레인 요거트(2Ts), 마요네즈(1Ts), 다진 마늘(1Ts), 파슬리가루(0.5Ts), 라임즙(1Ts), 후춧가루(약간)","['양상추는 채 썰고, 사과는 모양대로 얇게 썰고, 양파, 파프리카, 토마토, 할라피뇨 피클은 잘게 다진다. ', '다진 양파, 파프리카, 토마토, 할라피뇨 피클에 나머지 살사소스 재료를 넣어 고루 섞는다. ', '아보카도는 씨와 껍질을 제거하고, 골고루 으깬 뒤 나머지 과카몰레 재료와 고루 섞는다. ', '갈릭요거트소스를 만든다.  ', '약한 불로 달군 마른 팬에 토르티야를 올려 1~2분간 구워 꺼내고, 맥주잔에 감아 모양을 잡는다. ', '토르티야에 채 썬 양상추, 사과, 슈레드 모차렐라치즈를 올리고 살사소스, 과카몰레, 갈릭요거트소스를 곁들여 마무리한다.']",277.9,41.5,6.7,9.5,845.7
95,케첩 완자,"돼지목살다진것 50g, 청경채 20g, 케첩 10g, 파다진것 5g, 생강다진것 5g, 전분 5g, 소금적당량","['그릇에 다진고기, 파, 생강, 소금, 물 전분을 넣어 골고루 버무린 뒤 케첩을 넣는다.', '1을 한 방향으로 치댄 뒤 고기에 양념이 베도록 둔다.', '청경채는 1cm 정사각형 모양으로 썬다.', '2에 끈기가 생기도록 다시 치대준 뒤 지름 1.5cm의 완자 모양으로 빚는다.', '팬에 물을 넣고 끓으면 완자를 넣어 익힌다.', '청경채를 넣고 살짝 끓인 뒤 소금으로 간을 하고 소스가 약간 남도록 더 끓인다.']",142.0,13.8,10.8,4.9,156
96,생강향의 고구마 크로켓,"고구마 60g, 생강 2g, 생크림 3g, 버터 2g, 꿀 2g, 밀가루 3g, 달걀물 5g, 빵가루 3g, 튀김기름 8g, 소금적당량, 후추적당량","['고구마를 삶아 껍질을 제거하고 오븐에 넣어 수분을 제거한다.', '생강을 편으로 썰어 생크림과 섞어 생강향이 우러나도록 살짝 끓인 후 체에 거른다.', '볼에 1을 넣고 으깬다.', '3에 2를 넣고 골고루 섞어준다.', '버터, 꿀, 소금, 후추를 넣어 맛을 내고 원하는 모양으로 빚는다.', '5에 밀가루, 달걀물, 빵가루 순으로 묻혀 180℃ 기름에 튀긴다.']",205.0,25.2,2.2,10.9,49
97,고구마 경단,"고구마 50g, 카스텔라 20g, 우유 5g, 버터 2g, 꿀 3g, 건포도 20g, 소금 적당량","['고구마를 찜통에 찐다.', '고구마의 껍질을 벗기고 체에 곱게 내린다.', '카스텔라는 윗면의 갈색 부분을 잘라내고 믹서에 곱게 갈아 가루로 만든다.', '2에 우유와 버터, 꿀, 소금을 넣고 섞어 반죽한다.', '3의 반죽 속에 건포도를 1~2개 넣고 경단을 만든다.', '경단에 카스텔라 가루를 묻힌다.']",209.0,44.0,2.7,3.5,51
98,두부 깻잎 과자,"두부 30g, 깻잎 10g, 밀가루박력분 10g, 베이킹파우더 2g, 설탕 10g, 달걀 20g, 검은깨 3g, 소금적당량","['두부는 면보를 이용해 물기를 꼭 짠 후 곱게 으깬다.', '밀가루와 베이킹파우더를 섞어 체에 내린다.', '으깬 두부를 볼에 담고 설탕, 달걀, 검은깨를 넣고 거품기로 잘 저어준다. ', '3에 채 썬 깻잎을 넣은 뒤 2의 밀가루를 넣어 반죽한다.', '도마에 밀가루를 살짝 뿌리고 4를 밀대로 2mm 두께로 민 뒤 너비 1cm, 길이 4cm의 직사각형으로 자른다.', '자른 반죽을 오븐팬에 올려 180℃로 예열된 오븐에 10분간 굽는다.']",150.0,20.6,7.1,4.9,190
99,두부양갱,"치자 2g, 백련초가루 1g, 두부 30g, 한천 2g, 설탕 10g, 물 40g","['치자를 따뜻한 물에 담궈 색을 우려내고, 백련초가루는 물에 푼다.', '두부는 면보에 물기를 짠 뒤 칼로 으깬다.', '두 개의 냄비에 한천을 필요량 만큼 넣고 1을 각각 넣고 30분 정도 불린다.', '3에 으깬 두부를 반씩 나누어 넣고 설탕을 넣은 뒤 골고루 섞는다.', '4를 모양 틀에 넣고 냉장고에서 굳힌다.', '양갱이 굳으면 틀 째 미지근한 물에 담궈 뒤집어 뺸다.']",67.0,11.9,2.8,1.7,2.5
100,멸치 누룽지과자,"밥 70g, 잔멸치 20g, 통깨 5g, 설탕 5g","['잔멸치는 잡티를 제거하고 기름을 두르지 않은 팬에서 살짝 볶는다.', '고슬고슬하게 지은 밥에 1과 통깨, 설탕을 넣고 골고루 섞는다.', '사각 틀에 2를 넣고 랩을 씌워 밀대로 평평하게 민다.', '3을 바람이 잘 통하는 곳에서 건조 시킨다.', '175℃로 예열된 오븐에 4를 넣고 밥이 바삭해질 때 까지 굽는다.', '먹기 좋은 크기로 부숴 접시에 담고 설탕을 뿌린다.']",191.0,29.4,11.6,4.0,177
101,복숭아 화채,"오미자 5g, 천도복숭아 30g, 배 10g, 설탕 10g, 물 45g, 잣 1g 설탕시럼 설탕과 물을 동량으로 하여 중불에서 서서히 녹인다. 기호에 맞게 만든다.","['오미자에 7배의 물에 8시간 담궈 맛과 색이 우러나도록 한다.', '천도복숭아는 사방 0.5cm의 주사위모양으로 썰어 설탕을 뿌려 30분 정도 절인다.', '배를 모양 틀로 찍어 0.3cm 두께로 썰어 설탕에 절인다.', '오미자 국물을 면보에 거르고 시럽으로 단맛을 맞춘다.', '4에 복숭아와 배를 넣는다.', '5에 잣과 얼음을 띄운다.']",73.0,16.7,1.3,1.2,2
102,사과 포도주스 조림,"사과 60g, 포도주스 60g, 계피가루 2g, 아이스크림 30g","['사과씨를 통째로 제거한다.', '1을 2cm 두께로 썬다.', '냄비에 사과와 포도주스를 넣고 중불에서 서서히 졸인다.', '졸여진 사과를 냉장고에 넣어 시원하게 한다.', '접시에 사과를 담고 계피가루를 뿌린다.', '5에 아이스크림을 떠서 위에 얹는다.']",135.0,25.1,1.8,4.2,25
103,홍시 쉐이크,"냉동홍시 70g, 오미자 5g, 물 35g, 레몬즙 4g, 꿀 5g, 민트 1g","['냉동 홍시의 껍질을 벗기고 씨를 뺀다.', '1을 잘게 자른다.', '오미자를 7배의 물에 8시간 이상 우려 맛과 색이 우러나오도록 한다.', '믹서에 홍시, 오미자물, 꿀, 레몬즙을 넣어 함께 갈아준다.', '4를 컵에 담는다.', '민트로 장식한다.']",70.0,18.3,1.1,0.6,5
104,김치떡,"메밀가루 20g, 찹쌀가루 20g, 밀가루 20g, 물 20g, 소금적당량 [소] 김치 20g, 오징어 30g [양념] 설탕 5g, 깨소금 1g, 파다진것 4g, 마늘다진것 3g, 참기름 1g","['메밀가루, 밀가루, 찹쌀가루에 소금을 넣어 체에 내린 뒤 끓는 물을 넣어 익반죽한다.', '김치는 송송 썰고 오징어는 껍질을 벗겨 굵게 다진다.', '가열된 팬에 기름을 두르고 김치를 볶은 다음 오징어를 넣고 볶아 식힌다.', '반죽을 떼어 10cm 둥근 모양으로 빚은 다음 가운데에 3을 넣고 반달모양으로 접어 모양을 만든다.', '김이 오른 찜통에 면보를 깔고 14분간 찐 다음 5분 정도 뜸을 들인다.', '한 김 식힌 뒤 접시에 담아낸다.']",302.0,53.4,13.7,3.4,293
105,누룽지 피자,"잡곡밥흑미 검은콩 50g, 피자치즈 20g, 양파 10g, 청 피망 8g, 홍 피망 8g, 양송이 10g, 햄 5g, 캔옥수수 10g, 실파 5g[피자소스] 마늘다진것 2g, 양파다진것 5g, 쇠고기다진것 5g, 토마토케첩 8g, 설탕 3g, 간장 1g, 소금적당량, 후춧가루 적당량","['잡곡밥에 소량의 물을 넣고 밥알을 풀어준다.', '기름을 두르지 않은 팬에 1을 0.4cm두께로 노릇하게 양면을 굽는다.', '양파와 청, 홍피망, 햄은 적당한 크기로 썰고 캔 옥수수는 물기를 뺀다.', '냄비에 식용유를 두르고 다진 마늘과 다진 양파, 다진 소고기를 넣고 볶은 뒤 토마토 케첩과 물을 약간 넣어 졸이면서 설탕, 간장, 후춧가루로 간한다.', '누룽지에 4를 골고루 펴 바르고 그 위에 토핑 재료, 피자치즈, 송송 썬 실파를 뿌린다.', '5번을 예열된 오븐에 굽는다.']",280.0,57.4,10.9,2.6,350
106,단호박 새우찜,"단호박작은것 125g, 잔새우살다진것 20g, 두부 20g, 건표고버섯 10g, 청피망다진것 10g, 홍피망다진것 10g, 실파 5g, 밀가루 8g, 마늘 3g, 깨소금 1g, 참기름 1g, 소금 1g, 흰후춧가루 1g","['단호박은 표면을 깨끗하게 씻어 물기를 제거하고 꼭지 부분의 윗면을 자르고 수저로 속을 파낸 후 소금을 뿌려 놓는다.', '새우살은 다지고 두부는 면보로 싸서 물기를 제거하고 곱게 으깨고 불린 건표고버섯과 청, 홍피망은 곱게 다지고 실파는 송송 썬다.', '2의 재료를 한 데 섞고 소금, 다진 마늘, 깨소금, 참기름, 흰 후춧가루를 넣고 양념하여 소를 만든다.', '1의 내부에 수분을 제거한다.', '4의 안쪽에 밀가루를 살짝 뿌리고 밀가루가 골고루 잘 묻도록 한다.', '준비된 소를 채운 후 잘라둔 꼭지 부분의 뚜껑을 덮어 김 오른 찜통에 20분가량 찐 뒤 4~6등분 하여 낸다.']",202.0,38.6,11.1,3.5,395
107,두부 샌드위치,"두부 80g, 키위 20g, 오렌지 20g, 토마토 20g, 바나나 20g, 사과 20g, 꿀 10g, 소금적당량, 식용유 5g","['두부는 3cm 주사위모양으로 썰고 소금을 뿌려 간을 한다.', '과일은 5mm 주사위모양으로 썬 뒤 꿀을 넣고 버무린다.', '기름을 두른 팬에 1을 넣고 5면을 노릇하게 지진 뒤 종이타월로 기름기를 제거한다.', '3의 지지지 않은 한 쪽 면을 숟가락을 이용해 뚫리지 않게 조심스럼게 파낸다.', '속을 파낸 두부에 2를 채워 넣는다.', '민트로 장식한다']",190.0,22.3,8.3,9.6,8
108,라이스페이퍼 새우롤,"새우 20g, 홍피망 5g, 팽이버섯 5g, 숙주 15g, 무순 3g, 상추 5g, 차이브 5g, 쌀국수가는것 15g, 라이스페이퍼 20g[새콤 달콤 소스] 양파 5g, 마늘 1g, 홍고추 1g, 청고추 1g, 물전분 약간, 물 약간, 식초 3g, 설탕 1g, 고추기름 약간","['새우는 끓는 물에 대친 뒤 찬물에 담궈 식히고 껍질을 벗긴다.', '홍피망은 얇게 채 썰고 팽이버섯은 밑동을 잘라 준비하고 숙주는 거두절미하여 끓는 물에 데친 뒤 찬물에 식혀서 물기를 빼고 상추는 채 썬다.', '쌀국수를 물에 불렸다가 끓는 물에 데친 뒤 찬물에 식혀 물기를 제거한다.', '따뜻한 물에 라이스페이퍼를 담궜다가 꺼내 면보 위에 놓고 물기를 살짝 제거하고 1, 2, 3을 올리고 조심스럽게 말아준다.', '마늘은 다지고 양파, 홍고추, 청고추는 0.3mm로 잘게 썬다.', '팬에 고추기름을 두르고 다진 마늘을 볶다가 양파를 넣고 청, 홍고추를 넣어 살짝 볶은 뒤 물, 식초, 설탕을 넣고 물전분으로 농도를 맞춘다.']",141.6,22.9,7.2,2.4,86
109,"레몬, 파슬리 빵가루를 입힌 도미","도미 40g, 마늘다진것 2g, 빵가루 10g, 버터 1g, 레몬주스 3g, 레몬제스트 2g, 파슬리다진것 2g, 소금적당량, 후추적당량","['도미에는 소금과 후추로 밑간을 하고 마늘, 파슬리는 다진다.', '버터를 두른 팬에 다진 마늘을 넣고 마늘 향을 낸 버터물을 만든다.', '2에 빵가루를 섞어 믹싱볼로 옮겨 담는다.', '3에 다진 파슬리, 레몬주스, 레몬제스트, 소금, 후추를 넣고 고무주걱으로 잘 섞는다.', '도미를 양념하고 도미위에 4을 얹는다.', '5를 오븐에 굽는다.']",88.0,8.4,10.0,1.7,62
110,롤피자,"밀가루중력분 80g, 이스트 2g, 따뜻한물 20g, 소금 1g, 올리브오일 1g, 청피망 10g, 홍피망 10g, 베이컨 5g, 양파 10g, 양송이 5g, 토마토소스 5g, 모짜렐라 치즈 12g, 바질 1g, 오레가노 1g, 파마산치즈 2g","['볼에 밀가루를 담고 가운데에 웅덩이를 만들어 따뜻한 물과 이스트를 넣어 녹인 후 소금을 넣고 밀가루를 조금씩 섞으며 반죽을 한다.', '반죽이 하나로 뭉쳐지면 랩으로 싸서 따뜻한 곳에서 30분 정도 발효시킨다.', '발효된 반죽을 밀대를 이용하여 넓게 편다.', '청, 홍피망은 꼭지부분을 썰어내고 링 모양으로 썰어 심지를 제거하고 베이컨, 양파, 양송이는 슬라이스 한다.', '3을 오븐용 팬에 옮긴 뒤 토마토소스를 바르고 준비된 재료들과 피자치즈를 올린다.', '반죽을 말아서 윗부분에 칼집을 넣은 뒤 175℃로 예열된 오븐에 굽는다.']",374.0,63.8,13.9,5.0,524
111,닭곰탕,"?필수 : 닭 정육(90g), 대파(10g), 무(70g), 양파(20g), 홍고추(5g), 마늘(3g), 청양고추(5g)?육수 : 닭뼈(200g), 다시마(3g), 대파(5g), 마늘(2g), 물(600g)?양념 : 후추(5g)","['닭정육과 닭뼈를 깨끗이 씻어 물, 마늘, 대파, 다시마를 넣고 육수를 끓인다.', '닭 정육이 익으면 건져 잘게 찢는다.', '무는 나박썰기하고 대파와 홍고추, 청양고추는 어슷썰기 하고 양파와 마늘은 다진다.', '육수가 우러나면 체에 육수를 걸러낸다.', '냄비에 마늘을 볶다가 닭고기를 넣고 함께 볶은 뒤 육수와 손질한 채소를 넣어 푹 끓인다.', '후추로 간을 해 마무리한다.']",46.5,2.5,7.6,0.7,63.5
112,홍시 생밤 무침,"홍시 40g, 바나나 40g, 생밤 10g, 대추 5g, 호두 5g","['홍시는 껍질을 제거하여 으깬다.', '바나나는 체에 내린다.', '1과 2를 잘 섞어준다.', '생밤은 납작납작하게 썬다.', '대추는 돌려 깎아 씨를 제거하고 채 썬다.', '3과 4, 5를 잘 무쳐 그릇에 담는다.']",118.0,22.3,2.1,3.7,6
113,오이파프리카새콤무침,"오이 10g, 파프리카(빨강/노랑) 각 5g, 식초 2g, 설탕 2g","['오이는 굵은 소금으로 문질러 깨끗이 씻는다.', '오이를 적당한 두께로 썰고 4등분 한다.', '파프리카는 깨끗이 씻은 후 씨를 제거한다.', '파프리카를 적당한 크기로 썬다.', '식초, 설탕, 물을 섞어 단촛물을 만든다.', '단촛물에 오이, 파프리카를 버무린다.']",11.45,2.59,0.18,0.04,1.05
114,양상추샐러드 & 과일드레싱,"?필수  : 양상추(60g), 당근(10g), 적양배추(10g), 치커리(5g)?소스 : 사과(20g), 파인애플(15g), 레몬즙(1g)","['양상추는 깨끗이 씻어 먹기 좋은 크기로 썬다.', '당근과 적양배추는 곱게 채 썰고, 치커리는 잘게 썬다.', '사과는 껍질과 심을 제거한 뒤 한입 크기로 썬다.', '파인애플은 껍질과 심을 제거한 뒤 한입 크기로 썬다.', '손질한 과일과 레몬즙을 믹서에 넣어 곱게 갈아 드레싱을 만든다.', '양상추와 당근, 적양배추를 접시에 깔고 드레싱을 곁들여 마무리한다.']",57.4,9.9,1.9,1.1,33.8
115,시금치들깨무침,"시금치 70g, 파 5g, 마늘 5g, 들깨가루 15g, 통깨 5g, 들기름 5g, 소금(데치는용) 5g","['파, 마늘은 다진다.', '냄비에 물과 소금을 넣고 끓인다.', '세척한 시금치를 데친다.', '데친 시금치는 찬물에 헹구어 물기를 짠 다음 먹기 좋게 썬다.', '시금치에 들깨가루, 파, 마늘, 통깨, 들기름을 넣고 무친다.', '접시에 담아서 완성한다.']",159.24,12.03,10.05,7.88,32.68
116,채소롤초밥,"[ 2인분 ] 가지(1개), 오이(1개), 밥(400g), 소금(0.4ts), 다시마가루(2Ts), 매실식초(2ts), 참기름(2Ts), 참깨(2Ts)","['가지와 오이는 세로로 얇게 썬다. ', '얇게 썬 오이는 소금(0.2ts)에 10분간 절인 뒤 물기를 꼭 짠다. ', '얇게 썬 가지는 약한 불로 달군 마른 팬에 올려 앞뒤로 노릇하게 구워 꺼낸다. ', '밥에 남은 양념을 넣어 고루 섞는다. ', '소금에 절인 오이와 구운 가지 위에 밥을 한입 크기로 뭉쳐 올린다. ', '돌돌 말아 그릇에 담아 마무리한다.']",384.1,77.2,7.5,5.1,267.4
117,미니 떡갈비,"쇠고기샄코기 80g, 새송이버섯 40g, 밀가루 4g, 잣가루 1g [떡갈비 양념] 간장 5g, 배즙 5g, 양파즙 5g, 꿀 4g, 다진 파 5g, 다진 마늘 3g, 깨소금 1g, 참기름 1g, 후춧가루 1g","['소고기는 곱게 다진다.', '다진 소고기에 떡갈비 양념을 넣고 골고루 치대 양념한다.', '새송이버섯은 폭 1.5cm, 길이 6cm로 썰어 밀가루를 묻힌다.', '3에 2를 버섯 위, 아래로 1cm를 남기고 감싸듯이 부쳐 떡갈비를 만든다.', '팬에 앞뒤로 타지 않도록 굽는다.', '잣가루를 뿌린다.']",145.0,13.5,15.0,3.9,308
118,배추 달걀볶음,"배추 50g, 달걀 30g, 돼지고기 20g, 파 3g, 생강다진것 2g, 간장 2g, 목이버섯 10g, 닭육수 10g, 물전분 10g, 식용유 3g, 소금적당량","['배추는 잎을 떼서 크게 썬 다음 3cm 길이로 결대로 찢는다.', '기름을 넣어 가열 된 팬에 배추를 넣고 살짝 볶아 낸 후 수분을 제거한다.', '달걀을 풀어 팬에 익힌다.', '채 썬 돼지고기를 팬에 볶고 파, 다진 생강, 간장을 넣고 다시 볶는다.', '4에 목이버섯, 배추, 달걀을 넣고 잘 섞는다.', '5에 육수, 소금, 물전분을 넣는다.']",1311.0,7.3,8.3,7.5,188
119,사과와 양파를 곁들인 돼지등심 요리,"돼지등심 100g, 오레가노마른것 1g, 바질마른것 1g, 올리브오일 1g, 양파 15g, 사과 20g, 소금적당량, 통후추부순것 2g","['돼지등심은 4cm 정도 두께로 썬다.', '볼에 건오레가노, 건바질, 소금, 통후추 간 것을 섞어 허브 믹스를 만들어 1에 골고루 묻힌다.', '팬을 가열하여 올리브오일을 두르고 등심의 양면이 갈색이 되게 구운 뒤 알루미늄 호일에 싸서 오븐에서 완전히 익힌다.', '양파는 슬라이스하고, 사과는 껍질과 씨를 제거한 후 얇게 슬라이스 한다.', ' 또 다른 팬에 기름을 두르고 고기가 완전히 익을 동안 양파와 사과를 옅은 갈색이 나도록 볶아준다.', '고기가 다 익었으면 꺼내서 적당한 두께로 썰고 볶은 양파와 사과를 곁들인다.']",294.0,6.0,17.9,21.0,36
120,새우 속을 채운 리치와 감자튀김,"새우 60g, 달걀흰자 10g, 실파 5g, 물밤다진것 15g, 소금적당량, 후추적당량, 리치캔 35g, 감자 30g, 전분 3g, 튀김기름 10g [소스] 올ㄹ브오일 1g, 다진 양파 3g, 다진생강 1g, 다진마늘 1g, 고추기름 0.5g, 식초 3g, 설탕 1.5g, 소금적당량, 후추적당량, 전분 1g, 다진 레몬껍질 약간","['새우는 잘게 다지고 흰자, 소금, 후추와 함께 섞어서 간이 배도록 한다.', '다진 물밤과 실파를 1과 섞어준 뒤 종이타월을 이용해서 물기를 제거한 리치의 속의 채운다.', '속이 채워진 리치에 전분을 묻혀 기름에 튀긴다.', '가열된 팬에 올리브오일을 두르고 양파, 마늘, 생강 다진 것을 살짝 볶는다.', '4에 물, 고추기름, 설탕, 소금, 후춧가루를 넣고 간을 한 뒤 물전분으로 농도를 맞춘다.', '감자는 껍질을 벗겨 채칼로 얇게 슬라이스 한 뒤 물에 담궈 전분을 빼고 튀겨 접시에 깔고 3, 4를 담는다.']",258.0,24.5,14.7,11.5,196
121,생선살 완자 찹쌀 찜,"찹쌀 30g, 치자 5g, 시금치 10g, 당근 10g, 흰살생선 100g [흰 살생선 양념] 달걀흰자 15g, 생강즙 2g, 소금적당량, 흰후춧가루 적당량, 전분 3g","['찹쌀을 깨끗이 씻어 40분 가량 치차 물에 불린 뒤 물기를 빼고 소금을 약간 넣어 버무리고 마른 면보로 옮겨 수분을 빼면서 반 정도 으깬다.', '시금치는 소금물에 데쳐 냉수에 헹군 뒤 물기를 짜서 다지고 당근도 잘게 다진다.', '흰 살 생선은 면보로 물기를 꼭 짠 다음 곱게 다지고 끈기가 생기도록 치대면서 생강즙, 소금, 후춧가루를 넣는다.', '3에 달걀 흰자, 전분을 첨가하여 계속 치대 끈기가 생기도록 한 뒤 다져놓은 시금치와 당근을 넣어 섞는다.', '4를 조금씩 떼어 생선 완자를 만든 뒤 1을 묻힌다.', '찜통에 젖은 면보를 깔고 생선 완자가 서로 붙지 않도록 놓고 20분 정도 찐다.']",213.0,30.0,20.1,0.7,263
122,서양식 씨리얼(뮤즐리),"오트밀 15g, 꿀 5g, 플레인 요거트 18g, 아몬드 5g, 사과 8g, 건포도 4g, 우유 30g, 계피가루적당량, 바나나 10g, 키위 10g","['아몬드는 기름 두르지 않은 팬에 옅은 갈색이 나도록 볶는다.', '사과는 껍질을 제거하고 주사위모양으로 썬다.', '바나나와 키위는 껍질을 제거하고 사과와 같은 크기로 썬다.', '볼에 꿀, 플레인 요거트, 우유를 넣고 잘 섞는다.', '깨끗한 볼에 오트밀을 담고 4를 넣어 잘 섞어준다.', '5에 준비된 과일과 아몬드, 건포도를 올리고 기호에 따라 계피가루를 뿌린다.']",159.0,25.8,5.2,4.8,27
123,아보카도 달걀 샌드위치,"달걀 20g, 마요네즈 1g, 디존 머스타드 1g, 레몬주스 2g, 식빵 35g, 아보카도 6g, 워터크레스 1g, 소금 약간, 후추 약간","['달걀을 완숙으로 삶아 찬물에 담궈 식혀 껍질을 벗긴 뒤 볼에 넣어 포크로 거칠게 으깬다.', '으깬 달걀에 머스타드, 레몬주스, 소금, 후춧가루, 마요네즈를 섞는다.', '아보카도는 껍질을 제거하고 얇게 슬라이스 한다.', '식빵은 노릇하게 양면을 굽는다.', '4에 아보카도를 얹고 그 위에 달걀 샐러드를 얹어 식빵으로 덮는다.', '샌드위치의 가장자리 부분은 잘라내고 원하는 적당한 크기로 자른다.']",153.0,20.3,5.9,4.9,272
