,레시피명,재료,방법,열량,탄수화물,단백질,지방,나트륨
84,오색볶음면," 양파(40g), 청경채(30g), 두 가지 색 파프리카(각 15g씩)쪽파(15g), 라면(60g), 채 썬 돼지고기(30g*양념 다진 마늘(7g), 고추기름(5g), 설탕(4g), 두반장(8g), 라면스프(3g)","['양파와 청경채, 파프라카는 채 썰고,\n쪽파는 송송 썬다.', '라면은 삶아서 체에 밭쳐 물기를\n제거한다.', '팬에 식용유(5g)를 두르고 다진\n마늘을 볶아 향을 낸 뒤 돼지고기를\n볶는다.', '채 썬 양파와 청경채, 파프리카를\n함께 넣고 볶다가 고추기름, 설탕,\n두반장, 라면스프로 간을 해\n볶는다.', '면을 함께 볶은 후 송송 썬 쪽파를\n뿌려 마무리한다.']",466,25,5,7,952
85,로제소스라면," 새우(10g), 조개(20g), 홍합(20g), 새송이버섯(15g), 양파(8g)토마토(100g), 라면(50g), 우유(200g), 생크림(100g), 월계수잎(5g)정향(5g), 파르메산 치즈가루(5g), 파슬리가루(8g)","['새우, 조개, 홍합은 손질한다.', '버섯은 먹기 좋은 크기로 썰고,\n양파는 채 썰고, 토마토는 씨를\n제거해 다진다.', '라면은 끓는 물에 데친 뒤 체에 밭쳐\n물기를 제거한다.', '냄비에 식용유(10g)를 두른 뒤\n새우와 조개, 홍합을 넣어 살짝 볶아\n건진다.', '같은 냄비에 토마토, 우유, 생크림을\n넣은 뒤 월계수잎과 정향을 넣고\n끓인다.', '끓으면 데친 라면, 새송이버섯, 홍합,\n새우, 조개, 양파를 넣고 끓여 다\n익으면 파르메산 치즈가루를\n뿌린 후 그 위에 파슬리가루를 뿌려\n마무리한다.']",913,15,4,8,698
86,라면월남쌈튀김," 라면(20g), 배(12g), 파인애플(15g), 파프리카(10g), 쇠고기(우둔살, 20g)레드와인(20g), 매실청(20g), 라이스페이퍼(8g), 달걀(30g)빵가루(25g), 어린잎채소(10g)쇠고기*양념장 생강즙(1g), 저염간장(15g), 물(26g)다진 양파(10g), 다진 파(5g), 다진 마늘(5g)","['라면을 살짝 익힌다.', '배와 파인애플을 한입 크기로\n썰고, 파프리카는 깍둑 썬다.', '팬에 쇠고기 양념장과 파인애플을\n넣어 끓이다가 채 썬 쇠고기를\n넣는다.', '레드와인을 넣고 알코올을 날린 뒤\n매실청을 넣고 조린다.', '라면과 파프리카, 배를 섞은 후\n라이스페이퍼에 올려 만다.', '달걀물을 묻힌 후 빵가루를 입혀\n튀긴 뒤 그릇에 어린잎채소와 함께\n담아 조린 쇠고기를 곁들여 마무리\n한다.']",422,25,5,15,445
87,삼겹살라면," 라면(100g), 쪽파(3g)육수 돼지고기(삼겹살, 60g), 대파(20g), 얇게 썬 생강(5g), 가다랑어포(3g)조*양념 저염간장(3g), 맛술(8g), 흑설탕(3g)","['돼지고기를 차가운 물로 헹구고\n냄비에 물(300g), 대파, 생강과 같이\n넣고 끓여 돼지고기가 익으면\n면포에 거른다.', '냄비에 물(300g)을 넣어 끓으면\n가다랑어포를 넣고 1분간 끓이고\n불을 꺼 가다랑어포가 가라앉으면\n면포에 거르고, 다시 물(300g)을\n넣어 면포에 걸러낸 가다랑어포를\n넣어 약한 불로 10분간 끓인 뒤\n가다랑어포가 가라앉으면 면포에\n거른다.', '돼지고기 육수와 가다랑어포 육수를\n섞은 뒤 200g을 따로 덜어\n조림양념을 넣고 끓이다가\n돼지고기를 넣고 조린다.', '라면은 삶아 찬물에 헹궈 건지고,\n쪽파는 송송 썬다.', '육수를 뜨겁게 끓인 뒤 그릇에\n라면사리와 함께 담고,\n돼지고기조림, 쪽파를 올리고 팬에\n남은 조림 소스를 끼얹어 마무리한다.']",525,14,3,2,332
88,유자샐러드라면," 라면(55g), 양상추(40g), 케일(5g), 파프리카(20g), 비타민(5g)유자드레싱 식초(2g), 레몬즙(5g), 유자청(15g), 올리브유(1g)","['끓는 물(600g)에 라면을 넣어\n데친다.', '면은 찬물에 헹궈 물기를 뺀다.', '양상추, 케일, 파프리카는 얇게 채\n썰고, 비타민은 먹기 좋은 크기로\n자른다.', '유자드레싱을 고루 섞은 뒤 라면,\n채소를 버무려 마무리한다.']",307,26,3,4,145
89,주꾸미머리순대,"주꾸미 200g, 미나리 20g, 양파 25g, 당근 20g, 계란 60g다진마늘 15g, 생강청 15g, 레몬즙 10g소스 : 고추장 15g, 레몬즙 10g, 생강청 10g, 통깨 3g","['주꾸미를 몸과 다리를 분리 후 잘 씻어준다.', '주꾸미 다리, 미나리, 양파, 당근을 다져준다.', '다진 채소를 계란, 다진마늘, 생강청에 양념\n한다.', '양념한 3을 주꾸미 머리 속에 넣어주고\n이쑤시개로 꽂아준다.', '찜기에 찐다. 찔 때 레몬즙을 뿌리면 더욱\n탱탱하다.', '소스를 만든 뒤 주꾸미를 함께 완성한다.']",60,0,11,1,122
90,매실동치미,"무 50g, 연근 25g, 사과 25g, 배 30g, 함초소금 2g국물 : 매실청 30g, 생강청 15g, 함초소금 1g, 청양고추 10g","['무는 모양 틀로 자른다.', '무와 연근을 손질해 놓은 후 소금에 살짝\n절여준다.', '사과와 배는 먹기 좋게 잘라 레몬즙에 뿌려\n갈변을 막아준다.', '물에 청양고추를 넣어 끓여서 식힌다.', '식힌 물에 국물 재료를 넣어 국물을 만든다.', '만들어진 국물에 절여진 무, 연근, 사과, 배를\n넣어주어 완성한다. 24시간 이후부터 시원하게\n먹는다.']",76,18,0,0,79
91,조기까스,"조기 1마리(250g), 허브크러스트 100g, 흰 후추 1g, 화이트와인 15g, 마늘오일 15g, 전분 15g소스 : 고추장 15g, 저염간장 15g, 화이트와인 15g, 버터 5g다진양파 15g, 흰후추 1g, 마늘오일 15g","['다진마늘을 버터에 충분히 볶아준다.', '화이트와인을 뿌려주고 소스재료로 소스를\n만들어준다.', '찜기에 살짝 져 준다. 이때 80% 정도까지만\n익혀준다.', '쪄준 조기는 와인과 후추로 밑간을 해준 후\n전분을 발라준다.', '전분를 바른 조기에 허브크러스트를 두툼하게\n올려준다.', '팬에 기름을 두르고 조기를 한쪽부터 구운 뒤,\n뒤집어서 다시 구워주고 소스를 뿌려 완성한다.']",135,4,15,6,240
92,돼지머리수육맑은전골,"*주재료 15g, 무 25g육수 : 해물육수 300g, 청양고추 20g, 맛간장 15g","['무, 청고추, 미나리, 대파는 먹기 좋게 썰어준다.', '돼지머리는 냉수에 데친다. 냉수일 때부터\n돼지머리를 넣어야 물이 끓어오르면 불순물이\n제거된다.', '일본 된장을 풀어 체에 걸러준다.', '돼지머리를 살짝 졸여준다.', '냄비에 국물을 끓여주다가 채소를 넣어 끓인다.', '국물에 우동면을 데쳐낸 뒤 완성한다.']",233,20,103,10,552
93,파인애플볶음밥,"밥 150g, 칵테일새우 50g, 파인애플 통조림 100g, 양파 60g, 청고추 15g노란파프리카 20g, 빨간파프리카 20g, 마늘 15g, 계란 60g, 마늘기름 30g흰후추 1g, 레몬소금 1g, 맛간장 15g, 통깨 10g","['양파, 2가지색 파프리카, 청고추는 작은 깍두기\n모양으로 잘라준다.', '파인애플도 먹기 좋게 썰어준 뒤 레몬소금을\n살짝 뿌려준다.', '계란은 풀어서 팬에 스크램블을 만들어준다.', '마늘을 다진 후 마늘기름으로 칵테일 새우를\n볶아준다.', '볶아진 칵테일새우에 잘라준 채소를 넣어\n다시 볶아준다.', '여기에 밥을 넣어서 볶아주고 파인애플과\n맛간장, 통깨를 넣어서 볶아준다.']",285,36,12,10,280
94,코다리맑은찜,"*주재료 15g레몬즙 5g, 다진마늘 15g, 연겨자 7g, 통깨 10g","['코다리는 어간장, 청주, 흰후추, 생강청에\n살짝 재워준다.', '함초는 손질해 잘라준다.', '무는 소금에 살짝 절여서 수분과 염분을\n제거해준다.', '무와 함초를 고루 섞어준다.', '미나리와 콩나물은 손질해준 후 찜기에 깔고\n코다리를 쪄준다.', '소스를 만든 뒤 채소를 깔고 코다리를 올리고\n미나리, 콩나물을 올려 완성한다.']",96,1,19,1,431
95,콩고기샐러드," 콩고기(30g), 아보카도(10g), 바나나(10g), 가지(10g)연근(10g), 방울토마토(10g), 만두피(20g)저염간*양념 저염간장(2.5g), 물(25g), 설탕(3g)허브오일드레싱 저염소금(1g), 식초(5g), 로즈마리(1g), 통후추(1g)올리브유(15g), 꿀(5g)","['콩고기를 15분~20분 정도 물에\n불려 물기를 완전히 제거한 뒤\n저염간장양념으로 버무려 볶는다.', '아보카도, 바나나, 가지, 연근은\n깍둑 썰고, 방울토마토는 반을\n가른다.', '팬에 식용유(5g)를 둘러가며\n방울토마토, 가지, 연근을 각각\n볶아 건진다.', '만두피를 작은 체에 넣고\n바구니 모양으로 만들어 튀긴다.', '콩고기와 아보카도, 바나나,\n방울토마토, 가지, 연근을 튀긴\n만두피에 담은 뒤 허브오일드레싱을\n곁들여 마무리한다.']",333,19,13,6,426
96,해물들깨탕,"*주재료 15g국물 : 거피한 들깨가루 100g, 저염간장 15g, 다진마늘 15g, 다진대파 7g","['주꾸미, 전복, 칵테일새우는 각각 물에 데쳐서\n준비한다.', '이때 데치고 남은 물을 국물에 이용해주고\n여기에 청주를 넣어준다.', '양파, 청고추, 홍고추는 먹기좋게 썰어준다.', '계란을 황백으로 부쳐서 먹기좋게 썰어준다.', '만들어진 국물에 거피한 들깨가루와 국물재료를\n넣어 끓여서 준비한다.', '준비된 재료를 냄비에 넣고 국물을 부어 끓여\n완성한다.']",148,7,21,3,295
97,논우렁순무섞박지,"콜라비 200g, 논우렁 100g, 미나리 25g, 양파 60g, 청고추 15g, 홍고추 15g, 대파 10*양념 : 고춧가루 20g, 생강청 15g, 저염간장 15g, 다진마늘 15g, 플레인요구르트 15g","['콜라비는 껍질을 벗긴 후 저염간장에 30분\n정도 절여준다.', '우렁은 뜨거운 물에 데친 후 행군 뒤 물기를\n빼준다.', '미나리는 먹기 좋은 크기로 잘라준다.', '다진대파, 청홍고추, 양파는 송송 잘라준다.', '양념장에 콜라비부터 버무린 뒤 모든 재료를\n섞어서 완성한다.']",103,18,6,0,616
98,코다리맑은탕,"코다리 200g, 무 60g, 감자 60g, 양파 15g, 청양고추 30g미나리 25g, 백일송이버섯 25g, 참기름 15g국물 : 다진마늘 15g, 저염간장 15g, 흰후추 1g","['코다리는 먹기 좋게 잘라서 물에 헹궈 물기를\n빼준다.', '감자와 무, 백일송이버섯, 미나리는 먹기 좋게\n썰어준다.', '양파, 청양고추도 먹기 좋게 썰어준다.', '냄비에 참기름을 넣어 코다리를 살짝 볶아준다.', '코다리를 볶은 냄비에 무, 감자, 국물 재료를\n넣고 충분히 끓인다.', '끓고 있는 국에 양파, 청양고추, 백일송이\n버섯을 올려 완성한다.']",162,7,24,3,110
99,애호박들깨볶음,"애호박(150g), 소금(0.5g), 양파(20g), 대파(10g)홍고추(10g), 들기름(20g), 다진 마늘(5g), 건새우(20g)들깨가루(30g)","['애호박은 반달 모양으로 썰어 준다.', '썰어 놓은 호박에 소금을 넣고 살짝\n절여 물기를 제거하고 준비한다.', '양파는 채를 썰고, 대파는 1/4로 자르고,\n홍고추는 어슷썰어 자연스럽게 씨를\n제거해 놓는다.', '팬에 들기름을 넣고, 마늘을 먼저\n볶는다.', '볶아진 팬에 건새우를 넣어 볶아준다.', '건새우가 볶아지면, 썰어 놓은 호박을\n넣어 볶다가 양파와 대파를 넣어\n볶으면서 들깨 가루와 넣어 살짝\n볶으면서 마지막에 썰어 놓은 홍고추를\n넣어 한 번만 더 볶아 완성한다.']",184,16,10,8,202
100,누룽지새우튀김,"새우(100g), 소금(0.3g), 후춧가루(0.02g)튀김가루(100g), 달걀(50g), 누룽지(50g), 튀김기름(200g)- 소스 : 오렌지주스(100g), 설탕(10g), 식초(10g)- 곁들임채소 : 어린잎(20g)","['새우는 껍질을 제거하고 소금과\n후춧가루를 넣어 밑간을 해놓는다.', '어린잎은 찬물에 담그어 놓는다.', '튀김가루에 달걀을 넣어 잘 섞어\n튀김반죽을 만들어 놓는다.', '밑간을 해 놓은 새우를 튀김반죽에\n넣어 옷을 입힌다.', '누룽지는 170℃의 온도 튀김 기름에\n튀겨내고, 튀김옷 입힌 새우도 튀겨낸다.', '냄비에 오렌지주스와 설탕, 식초를\n넣어 은근히 졸여 소스를 만들고,\n어린잎은 찬물에 건져 물기를 제거하고\n접시에 깔고 튀긴 누룽지와 튀긴 새우를\n올려 완성한다.']",558,63,23,23,156
101,닭고기월남쌈,"닭고기살(100g), 로즈마리(5g), 양파(20g), 소금(0.5g)후춧가루(0.02g), 오이(30g), 파프리카(30g), 당근(30g)라이스페이퍼(20g), 녹말가루(30g), 식용유(20g)- 소스 : 다진 마늘(10g), 고춧가루(10g), 설탕(20g)식초(20g), 레몬즙(10g)","['닭고기살에 로즈마리를 뿌려 약 3시간\n이상 숙성을 시킨다.', '냄비에 물을 1/3쯤 넣고, 양파채를 썰어\n넣어 끓으면, 숙성된 닭고기살을 넣고\n약 20분 정도 삶아 건진다.', '삶아 건진 닭고기살을 한 김 빼고, 길게\n손으로 찢어 소금과 후춧가루에 살짝\n무치고, 오이와 파프리카는 씨를 제거\n하고 채를 썰고, 당근도 오이채의 길이에\n맞게 채를 썰어 준비해 놓는다.', '마늘을 다지고, 고춧가루와 설탕, 식초,\n레몬즙을 넣어 소스를 만든다.', '뜨거운 물에 라이스페이퍼를 살짝 넣어\n바로 건진다.', '건져 놓은 라이스페이퍼에 준비한\n닭고기살과 파프리카, 오이, 당근 넣고\n돌돌 말아, 녹말가루를 살짝 입혀, 팬에\n굴리듯 익혀 완성하고, 준비해 놓은\n소스와 함께 제공한다.']",353,40,28,8,197
102,양배추롤,"닭고기살(100g), 천일염(0.5g), 후춧가루(0.3g), 식용유(10g)정종(10g), 양배추(80g), 부추(30g), 깻잎(10g)홍파프리카(20g), 노랑파프리카(20g), 당근(20g), 양파(20g)- 소스 : 요거트(20g), 머스터드(20g), 꿀(10g), 레몬즙(10g)설탕(5g)","['닭고기살은 천일염과 후춧가루를 뿌려\n마리네이드를 해놓는다.', '양배추와 부추는 김이 오른 찜통에\n쪄서 식혀 놓는다.', '깻잎은 채를 썰고, 파프리카는 속을 제거\n하고 5cm 길이로 채를 썰고, 당근과\n양파도 같은 길이로 채를 썰어 놓는다.', '마리네이드를 해 놓은 닭고기살은 팬에\n기름을 두르고, 팬이 따끈해지면 앞뒤를\n돌려가며 정종을 살살 뿌려 닭고기살을\n굽고, 닭고기살이 익으면 살을 찢어 준비\n한다.', '요거트와 머스터드, 꿀 ,레몬즙, 설탕을\n넣고 고루 섞어 소스를 만들어 놓는다.', '쪄 놓은 양배추에 준비한 채소(③)와\n닭고기살(④)을 넣고, 돌돌 말아 쪄\n놓은 부추로 양배추를 묶어 완성하고,\n만들어 놓은 요거트 소스를 함께 제공\n한다.']",164,14,17,3,111
103,단호박소고기롤,"소고기(70g), 저염간장(10g), 다진 마늘(10g), 설탕(10g)파프리카(30g), 오이(20g), 적양배추(20g), 사과(20g)설탕(10g), 팽이버섯(20g), 무순(5g)- 밀전병 : 단호박(100g), 밀가루(50g), 소금(0.5g)- 소스 : 다진 마늘(10g), 다진 양파(20g), 올리브오일(20g)설탕(10g), 식초(20g), 소금(0.5g)","['단호박은 1/8 등분으로 갈라 속을\n파내고 찜통에서 약 15~20분 정도\n충분히 쪄낸다.', '소고기는 채를 썰어 마늘, 간장, 설탕에\n양념을 하고 팬에 볶아서 식힌다.', '파프리카와 오이, 적양배추는 채를\n썰고, 무순은 물에 잠시 담그어 놓고,\n사과는 채를 썰어 설탕물에 잠시 담그어\n놓고, 팽이버섯은 밑둥만 잘라 한 줌\n집기 좋은 크기로 준비해 놓는다.', '다진마늘과 다진 양파 ,올리브오일,\n설탕, 식초, 소금을 넣고, 골고루 섞어\n소스를 만들어 놓는다.', '쪄 낸 단호박은 껍질을 벗기고 채에\n곱게 내려 밀가루와 물, 소금을 조금\n섞어 단호박 반죽을 만들어 놓는다.', '팬에 올리브 오일을 바르고, 만들어\n놓은 단호박 반죽을 한 국자씩 떠 넣어,\n밀전병을 만들고, 밀전병이 익으면,\n한 김 식혀, 그 안에 소고기 볶음과\n채소를 넣어 돌돌 말아 소스와 함께\n완성한다.']",444,66,10,15,248
104,생선카레튀김,"생선살(150g), 생강(10g), 정종(10g), 녹말가루(10g)깻잎(10g)- 튀김반죽 : 콩가루(20g), 밀가루(10g), 카레가루(10g)녹말가루(10g), 달걀(50g)- 소스 : 마요네즈(20g), 요구르트(20g), 설탕(10g), 식초(10g)- 곁들임채소 : 양상추(30g)","['생선살에 생강즙과 정종을 넣고 약 30분\n정도 숙성을 시켜 비릿한 맛 제거 및 생선\n살의 탱탱함을 살려준다.', '콩가루와 밀가루, 카레가루, 녹말가루,\n달걀을 넣고 골고루 섞어 튀김 반죽을\n만들어 놓는다.', '깻잎은 반으로 접어 채를 썰어 물에\n잠시 담그어 놓는다.', '깻잎(③)은 물기를 제거하고\n튀김반죽(②)을 골고루 입힌다.', '숙성시킨 생선살(①)에 녹말가루를\n살짝 입히고 튀김 반죽(②)을 골고루\n입힌 뒤, 튀김반죽을 입힌 깻잎(④)을\n얹어 튀김 기름 170℃ 온도에 넣어\n약 2분 정도 튀겨 기름을 자연스럽게\n빼 놓는다.', '마요네즈와 요구르트, 설탕, 식초를\n넣어 골고루 섞어 튀김소스를 만들고,\n튀김을 접시에 담아 양상추와 함께 얹어\n완성한다.']",555,14,22,45,260
105,삼겹가지볶음,"삼겹살(100g), 생강(5g), 정종(10g), 가지(50g), 양파(20g)당근(20g), 깻잎(10g), 느타리버섯(20g), 대파(10g)식용유(5g), 참기름(5g), 잣(10g), 통깨(5g)-*양념장 : 고춧가루(20g), 다진마늘(20g), 저염간장(30g)올리고당(20g), 후춧가루(0.1g), 설탕(10g)","['썰어 놓은 삼겹살에 생갑즙과 정종을\n넣고 약 2시간 정도 숙성을 시켜 준비\n한다.', '가지는 씨가 적은 것으로 골라 반으로\n갈라 어슷썰어 놓는다.', '양파와 깻잎은 채를 썰고, 당근은\n직사각형으로 썰고, 대파는 송송 썰고,\n느타리는 손으로 찢어 준비한다.', '고춧가루과 다진마늘, 간장, 올리고당,\n후춧가루, 설탕을 넣고 골고루 섞어\n양념장을 만든다.', '숙성시켜 놓은 삼겹살에 만들어 놓은\n양념장을 넣고 골고루 무쳐 놓는다.', '팬에 기름을 살짝 둘러 양념한 고기(⑤)\n를 먼저 볶은 후 고기가 중간쯤 익으면,\n가지(②)와 썰어 놓은 채소(③)를 넣어\n볶다가 마지막에 참기름과 잣을 넣고\n한 번 더 볶은 후 통깨를 올려 완성한다.']",542,15,19,44,398
106,닭가슴살현미스테이크,"닭가슴살(150g), 정종(10g), 카레가루(20g)현미쌀(50g), 튀김기름(200g)- 소스 : 토마토소스(50g), 생크림(20g)- 곁들임채소 : 적양배추(20g), 양배추(20g)","['닭가슴살에 칼을 1/3 쯤 넣고 양쪽으로\n포를 뜨고, 정종을 살짝 발라놓는다.', '포뜬 닭가슴살 위에 카레가루를 솔솔\n뿌려 숙성을 시킨다.', '현미쌀은 물에 충분히 불려, 물기를\n빼 놓고, 양배추와 적 양배추는 곱게\n채를 썰어 각각 찬물에 담그어 싱싱\n해 지면 건져 물기를 빼놓는다.', '냄비에 토마토소스를 끓이다가\n생크림을 넣고 살짝 한 번 더\n끓여놓는다.', '튀김기름에 온도가 약 170℃ 정도가\n되면, 불려 놓은 현미쌀의 물기를\n제거한 뒤 튀겨 기름을 제거해 놓는다.', '숙성된 닭가슴살(①)에 튀긴 현미쌀\n(⑤)을 앞뒤로 골고루 바르고 다시\n170℃ 온도의 튀김 기름에 약 3~5분\n정도 튀겨내고, 양배추와 적채를 깔고\n그 위에 튀겨진 닭가슴살을 올리고,\n토마토소스를 뿌려 완성한다.']",400,33,34,14,194
107,삼겹선,"삼겹살(100g), 정종(20g), 소금(0.5g), 후춧가루(0.05g)생강즙(10g), 조(20g), 쌀(50g), 양파(30g), 파프리카(30g)당근(20g), 새송이버섯(20g), 표고버섯(20g), 깻잎(5g), 파(10g)- 소스 : 설탕(20g), 식초(10g), 레몬(10g), 소금(0.5g)고춧가루(10g), 매실액(20g)","['삼겹살에 소금, 후춧가루, 생강즙,\n정종을 넣고 약 30분 정도 숙성을 시킨다.', '조와 쌀은 물에 약 30분 정도 불려 밥을\n짓고, 밥이 다 익으면, 뚜껑을 열어 주걱\n으로 골고루 섞어 한 김을 빼 놓는다.', '파는 길게 채를 썰어 물에 담그어 파채가\n둥글게 말리도록 한다.', '설탕과 식초, 레몬, 소금, 고춧가루,\n매실액을 골고루 섞어 소스를 만들어\n놓는다.', '파프리카는 속을 제거하고 양파,\n당근, 파프리카를 양파와 같은 길이로\n채를 썰고, 새송이와 표고버섯은 살짝\n데쳐 채를 썰고, 깻잎도 채를 썰어\n놓는다.', '파프리카는 속을 제거하고 양파, 당근,\n파프리카를 양파와 같은 길이로 채를\n썰고, 새송이와 표고버섯은 살짝 데쳐\n채를 썰고, 깻잎도 채를 썰어 놓는다.']",623,25,24,47,182
108,미니버섯탕수,"미니버섯(120g), 소금(0.3g), 녹말가루(50g)달걀흰자(30g), 튀김기름(300g)- 소스 : 저염간장(30g), 홍초(20g), 설탕(20g)브로컬리(20g), 오이(20g), 당근(20g)홍파프리카(20g), 노란파프리카(20g)물녹말(녹말가루 10g, 물 10g)","['미니버섯을 깨끗이 씻어 소금을 살짝\n뿌려 놓는다.', '녹말가루에 물을 반쯤 넣고, 가만히\n가라앉혀 윗물은 따라 버리고, 딱딱한\n된녹말을 만들어 놓는다.', '브로컬리는 끓는 물에 데쳐 작게 썰고,\n오이는 반달로 썰고, 당근은 은행잎\n모양으로 썰어 준비하고, 파프리카는\n속씨를 제거하고, 삼각지게 썰어 준비\n한다.', '간장과 홍초, 설탕을 넣어 골고루 섞어\n탕수육소스를 만들어 놓는다.', '소금을 뿌려 놓은 미니 버섯에 만들어\n놓은 된 녹말과 달걀흰자를 넣어 골고\n루 섞는다.', '튀김 기름의 온도가 170~180℃가\n되면, 녹말 입힌 미니버섯을 바삭 하게\n튀겨 주고, 다시 팬에 만들어 놓은\n탕수육소스를 바글바글 끓이다가,\n썰어 놓은 채소를 넣고 살짝 익힌 후,\n물녹말을 한 숟가락 정도 넣어 끓인 후\n튀겨진 미니버섯 위에 올려 완성해 준다.']",269,32,6,15,242
109,연어오븐구이,"연어(150g), 양파(50g), 토마토(100g), 파프리카(50g),당근(30g), 마늘(20g), 청피망(30g), 레몬(1/4개), 소금(0.3g),후춧가루(0.01g), 생크림(20g), 화이트크림(50g), 버터(20g)","['연어는 소금, 후춧가루, 레몬으로\n마리네이드 한다.', '양파, 마늘은 입자있게 다진다.', '토마토는 씨를 제거하고 입자있게\n썰고, 파프리카, 피망은 채 썬 뒤\n볶는다.', '화이트크림, 생크림을 골고루 섞어\n크림소스를 만든다.', '팬에 버터를 넣고 양파, 마늘을 볶다가\n만들어 놓은 크림소스를 넣고 졸인다.', '접시에 볶은 야채를 담고, 200℃\n오븐에서 10분 정도 구운 연어를 담은\n뒤 크림소스를 올린다.']",285,8,28,15,222
110,옥음밥,"옥수수콘(200g), 애호박(1/3개), 당근(20g), 양파(30g),새송이버섯(1/2개), 마늘(10g), 라이스페이퍼(1장),저염간장(20g), 쌀(150g), 후춧가루(0.01g), 식용유(10g)","['쌀은 깨끗이 씻어 30분 이상 불려 밥을\n지어 식힌다.', '옥수수콘은 체에 걸러 물기를 뺀다.', '양파, 애호박, 당근, 양파 및\n새송이버섯은 옥수수콘 크기로 썰고\n마늘은 다진다.', '팬에 기름을 두르고 야채를 먼저\n볶는다.', '볶은 야채에 식혀놓은 밥을 넣고\n볶다가 저염간장, 후춧가루로 간을\n하고 옥수수콘을 넣고 살짝 볶는다.', '팬에 기름을 자작하게 넣고,\n라이스페이퍼를 둥글게 넣고 튀겨\n그릇에 담은 뒤 볶음밥을 담는다']",381,75,5,6,341
111,뿌리채소두부선,"두부 300g, 전분 50g, 계란 60g, 흰후추 2g소 : 우엉 30g, 인삼 15g, 감자 30g, 청고추 10g, 홍고추 15g, 마늘기름 15g, 흰후추 1g소스 : 일본된장 15g, 마늘기름 15g, 들기름 15g, 식초 30g, 올리고당 5g마요네즈 15g, 땅콩잼 30g, 참깨 2g","*주재료 곱게 채 썰어서 냉수에\n담가준다.', '볶아진 모든 채소를 각각 볶아서 한데 섞어\n준다.', '땅콩잼으로 소스를 만들어준다.', '김발을 깔고 비닐을 놓아 준 후 두부를 펴준다.', '볶아진 채소를 두부에 넣어주고 찜기에 쪄서\n식힌 뒤 한입 크기로 잘라준다.']",184,19,9,7,135
112,음메꼬꼬돌돌,"소고기(120g), 달걀(1개), 닭고기(가슴살, 100g), 미나리(50g),찹쌀가루(50g), 홍고추(1개), 소금(0.3g), 후춧가루(0.01g),통후추(5알), 저염간장(20g), 설탕(20g), 식초(10g)","['소고기는 넓게 펴서 소금, 후춧가루로\n밑간을 하고 굽는다.', '닭가슴살은 소금, 후춧가루로 밑간을\n하여 굽고 길이대로 썬다.', '미나리는 끓는 물에 넣고 데쳐 찬물에\n헹군다.', '홍고추는 씨를 제거 하고 길게 썰어\n준비한다.', '달걀은 황백으로 나눠 지단을 부쳐\n길게 썰어 놓는다', '밑간한 소고기와 닭살 에 찹쌀가루를\n뭍혀 홍고추와 달걀 황백지단을 넣어\n돌돌 말아 미나리로 띠를 둘러 팬에\n기름을 살짝 둘러 익힌다.']",296,0,41,14,275
113,전복리조또,"쌀(100g), 전복(1개), 당근(20g), 양파(30g), 양송이버섯(3개),우유(200g), 올리브오일(10g), 소금(0.2g), 후춧가루(0.01g),버터(10g)","['쌀은 깨끗이 씻어 30분 정도 불린다', '전복은 수저로 떼어 내어 소금으로\n세척한다.', '준비된 전복에 버터를 두르고 굽는다', '당근. 양파 . 양송이는 입자 있게\n다진다.', '냄비에 올리브 오일을 넣고 불린 쌀을\n볶는다.', '쌀이 어느 정도 볶아지면 다져 놓은\n야채를 넣어 볶다가 우유를 넣어\n끓이고, 쌀이 퍼지면 구워 놓은 전복을\n넣어 다시 끓인다.']",282,53,7,4,92
114,초계탕,"닭고기(다리, 2개), 양파(50g), 파프리카(50g), 적양배추(20g),오이(50g), 마늘(30g), 겨자가루(20g), 대파(20g), 소금(0.3g),설탕(20g), 식초(10g)","['냄비에 마늘과 대파를 넣고 끓이다가\n닭다리를 넣고 삶는다', '닭을 삶아 놓은 육수는 걸러 기름을\n제거 하고 차갑게 식힌다.', '삶아 놓은 닭고기는 결대로 찢는다.', '양파, 오이와 파프리카는 채썬다', '적채는 채를 썰어 찬물에 담궈 건져\n물기를 빼 놓는다.', '차갑게 걸러 놓은 닭 육수에 발효된\n겨자와 소금 .설탕, 식초를 넣어 육수\n간을 하고, 그릇에 닭살과 오이 적채,\n파프리카 양파를 올려 차가운 육수를\n넣어 완성한다.']",103,7,16,1,90
115,콩나물부추볶음,"콩나물(150g), 부추(50g), 양파(30g), 당근(20g), 파(10g),감자(50g), 소금(0.3g), 식용유(20g)","['감자는 채를 썰어 물에 담궈 전분을\n제거하고, 양파와 당근 파는 채를 썬다.', '콩나물은 머리와 꼬리를 손질한다', '물이 끓으면 손질한 콩나물을 넣는다.', '콩나물이 익으면 체에 건져 찬물에\n헹군다.', '부추는 약 6cm 길이로 썬다.', '팬에 기름을 두르고 콩나물을 넣고\n살짝 볶다가 썰어 놓은 야채를 넣고\n볶으면서 소금 간을 하고 마지막에\n부추를 넣고']",133,15,3,6,139
